S.No,e-publish Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Reference Link
11.,26-Jul-2023 01:00 PM.,31-Aug-2023 02:00 PM,01-Sep-2023 03:00 PM,[SM/B011-000-PJ-T-8801/1012]  [SM/B011-000-PJ-T-8801/1012][2023_GAIL_161830_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SsCJkJQ4rfPjaWpSPfIJWIQ%3D%3D
12.,26-Jul-2023 06:55 PM.,24-Aug-2023 04:00 PM,25-Aug-2023 04:00 PM,"[E-tenders are invited for award of Licence for Operating Spa and Wellness centre at Domestic SHA, New Integrated Terminal Building, Goa International Airport, Dabolim]  [AAI/COMML/GOA/SPA/2023][2023_AAI_162431_1]",Airports Authority of India||Western Region - AAI||GOA - AAI||COMMERCIAL-VAGO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVPuNMupvHNOpP8tA3CoH0g%3D%3D
13.,26-Jul-2023 06:00 PM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:00 PM,[E-tenders are invited for award of Comprehensive License for Executive Lounge and Meet and Greet facilities at Goa International Airport]  [AAI/COMML/GOA/COMP/2023][2023_AAI_162429_1],Airports Authority of India||Western Region - AAI||GOA - AAI||COMMERCIAL-VAGO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SZNRlqterPi9uaL%2BDQix0Eg%3D%3D
14.,31-Jul-2023 05:30 PM.,28-Aug-2023 05:30 PM,29-Aug-2023 05:30 PM,"[Notice Inviting E-Tender (NIET) For General Retail Facility (Inside SHA, First Floor) at New Terminal Building of RVST Airport, Gwalior ]  [ CL-12024/22/2023-APD-NR-AGRA ][2023_AAI_162788_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SvYVUipmcbo6i%2FBhqGrw%2Fug%3D%3D
15.,31-Jul-2023 05:00 PM.,28-Aug-2023 05:00 PM,29-Aug-2023 05:00 PM,"[Notice Inviting E-Tender (NIET) For License to Operate Snack Bar facility (Inside SHA, First Floor) at New Terminal Building of RVST Airport, Gwalior]  [CL-12018/16/2023-APD-NR-AGRA ][2023_AAI_162786_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SF0I%2BLr1HavpaI66tCN1u8A%3D%3D
16.,29-Jul-2023 05:45 PM.,28-Aug-2023 02:00 PM,29-Aug-2023 02:30 PM,[REPLACEMENT OF LIFTS INSTALLED AT GAIL VIHAR WITH NEW GENERATION LIFTS INCLUDING DSITC WITH 03 YEARS CAMC ON BUY BACK BASIS]  [GAIL/C AND P/JPR23VS044/2023 TO 24][2023_GAIL_162768_1],GAIL (India) Limited||GAIL India Limited- Jaipur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SdlO8XJCRA4rIxvs6GlIXTg%3D%3D
17.,07-Aug-2023 06:00 PM.,28-Aug-2023 02:00 PM,29-Aug-2023 02:00 PM,"[PROCUREMENT OF SUPPLY, INSTALLATION, TESTING and]  [GAIL/MU/CnP/OnM/23/09][2023_GAIL_163040_1]",GAIL (India) Limited||GAIL India Limited- Mumbai,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2vQtE85bttO2mZyIHqR27w%3D%3D
18.,31-Jul-2023 05:00 PM.,28-Aug-2023 04:00 PM,29-Aug-2023 04:30 PM,[Money Exchange Counter Services at Gaya Airport]  [AAI/GAYA/MONEYEXCHANGE/2023][2023_AAI_162823_1],Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sicg5%2B2sV%2BjnM76soo8rEFg%3D%3D
19.,31-Jul-2023 05:30 PM.,28-Aug-2023 05:00 PM,29-Aug-2023 05:30 PM,"[Notice Inviting E-Tender (NIET) For General Retail Facility (Inside SHA, First Floor and Ground Floor) at New Terminal Building of RVST Airport, Gwalior ]  [CL-12024/23/2023-APD-NR-AGRA][2023_AAI_162791_1]",Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SZWW5%2FoeGGUUotUq8lIx9CQ%3D%3D
20.,09-Aug-2023 05:40 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[License for Staff Canteen Facility at SGRDJI Airport Amritsar.]  [AAI/ASR/COMML/SC/2023/19][2023_AAI_162647_1],Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SOUHzYvW%2Bz3eU3m2Y70AwWQ%3D%3D
21.,07-Aug-2023 06:00 PM.,28-Aug-2023 02:00 PM,29-Aug-2023 02:00 PM,"[PROCUREMENT OF SUPPLY, INSTALLATION, TESTING and]  [GAIL/MU/CnP/OnM/23/09][2023_GAIL_163040_1]",GAIL (India) Limited||GAIL India Limited- Mumbai,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S2vQtE85bttO2mZyIHqR27w%3D%3D
22.,03-Aug-2023 04:00 PM.,24-Aug-2023 04:00 PM,25-Aug-2023 04:00 PM,"[Short Term License to operate Food and Beverages Outlets (in Departure) at Srinagar International Airport, Srinagar.]  [AAI/SXR/COMML/FnB/401/2023][2023_AAI_163247_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SZEyABTn8y0R7Ctf92f170g%3D%3D
23.,03-Aug-2023 05:00 PM.,30-Aug-2023 04:00 PM,31-Aug-2023 04:30 PM,[General Car Rental Services for Motor Cab and Maxi Cab facility at Gaya Airport]  [ AAI/GAYA/carRental/2023 ][2023_AAI_163290_1],Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Stg6laiNIlhhB0v5vagCrRQ%3D%3D
24.,04-Aug-2023 02:00 PM.,28-Aug-2023 02:00 PM,29-Aug-2023 03:00 PM,[OUTSOURCING OF COPPER NETWORK INCLUDING PRIMARY CABLE LAYING MAINTENANCE WORK IN AYODHYA ]  [W-2/GM BA AYD/Plg/Tender/ O/s of Copper N/W inclu][2023_BSNL_163175_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Faizabad,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sgss%2BZOEBv%2FEGgulCtAOmPw%3D%3D
25.,03-Aug-2023 10:30 AM.,24-Aug-2023 01:00 PM,25-Aug-2023 03:00 PM,[HIRING OF ANNUAL HORTICULTURE AND LAWN MAINTENANCE SERVICE FOR TWO YEARS]  [KLL/CNP/CIVIL/SFL026/2023-24][2023_KLL_163184_1],Konkan LNG Limited,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SqGmK3CgP%2BhAI2W9ZrgVGWw%3D%3D
26.,05-Aug-2023 04:00 PM.,28-Aug-2023 04:00 PM,29-Aug-2023 04:00 PM,"[Concession to design, fit-out, finance, develop, market, operate, maintain and manage the retail outlets at the Srinagar International Airport.]  [AAI/SXR/Comml/MC/Retails/403][2023_AAI_163513_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SurxKvcamogqiz0KCuf0PqQ%3D%3D
27.,05-Aug-2023 03:00 PM.,28-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,"[Concession to design, fit-out, finance, develop, market, operate, maintain and manage the Food and Beverage outlets at the Srinagar Airport]  [AAI/SXR/Comml/MC/FB/402][2023_AAI_163512_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||COMMERCIAL-VABO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SYFUazwWLfWyX%2BdkLGpPmPg%3D%3D
28.,05-Aug-2023 10:00 AM.,31-Aug-2023 03:00 PM,01-Sep-2023 03:30 PM,[Tender for Handling of Grinding Media i.e. sorting or shifting or loading of grinding media into Chambers of Cement Mills]  [TDO/PROD/GRINDING MEDIA HANDLING//2023-24][2023_CCI_163508_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S%2B%2BoD4akwPVYmczoKXxsxTg%3D%3D
29.,08-Aug-2023 03:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[AMC FOR THE GAS DETECTION SYSTEM INSTALLED UNDER MALANPUR REGION]  [GAIL/KL/C23133/KS/INST/2023][2023_GAIL_163374_1],GAIL (India) Limited||GAIL India Limited- Vijaipur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=S9kkYJFlUBjYzLWvCA16OVw%3D%3D
30.,08-Aug-2023 06:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,"[Licence for Home and Lifestyle Outlet in Departure (Ground Floor Check-In) Area, NITB, at Goa International Airport, Dabolim]  [AAI/COMML/GOA/H-L/2023][2023_AAI_163803_1]",Airports Authority of India||Western Region - AAI||GOA - AAI||COMMERCIAL-VAGO - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVizQFFWQh40955MsYtdFAg%3D%3D
31.,09-Aug-2023 02:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:30 PM,"[Leather Goods and Accessories outlet at SHA, at New Domestic Terminal Building T1, BPI Airport Bhubaneswar]  [AAI/Comml/Leather retail/2023][2023_AAI_163887_1]",Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||COMMERCIAL-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SKq4qP227ax%2FKcJNumHJ4PA%3D%3D
32.,08-Aug-2023 06:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:30 PM,[RFP APPOINTMENT OF CONSULTANT FOR PREPARATION OF LAND USE PLAN AND GEOTAGGING OF ASSETS OF VISAKHAPATNAM PORT AUTHORITY]  [IENG/SrAEM/ LU Plan/2023][2023_VPT_163778_1],Visakhapatnam Port Trust||Civil Engineering - VPT||SE CP Division - VPT,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVQ3px4rW%2Ff8CzzWSZ0YksA%3D%3D
33.,09-Aug-2023 04:30 PM.,28-Aug-2023 04:00 PM,29-Aug-2023 04:00 PM,"[Establishment of 2 nos. Dry Labs and 1 no. Wet Lab in Academic Building-I at Permanent Campus of Central University of Jharkhand at Cheri Mantau, Ranchi, Jharkhand ]  [WAP/INFS-I/2023-24/09 ][2023_WAPCO_163893_1]",WAPCOS Limited||Rural and Urban Development||RUD (Gurugram),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SFYGZcYZ26FKNpYrXsE2%2F5w%3D%3D
34.,09-Aug-2023 06:00 PM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:00 PM,"[Licence for Chemist and Nutrition Outlet in Departure (Ground Floor Check-In) Area, NITB, at Goa International Airport, Dabolim.]  [AAI/COMML/GOA/C-N/2023][2023_AAI_163967_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SHZhED97wqRsedqhFWTingw%3D%3D
35.,09-Aug-2023 05:30 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:30 PM,[Pharmacy/Medicine and Nutrition Outlet at Departure New Domestic Terminal Building T1]  [AAI/BA/COMML/PHARMACY/2023][2023_AAI_163846_2],Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||COMMERCIAL-VEBS - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SB69VI6Raz1H8XnhvPZsN2g%3D%3D
36.,09-Aug-2023 05:00 PM.,25-Aug-2023 04:00 PM,26-Aug-2023 04:00 PM,"[Interior Works and Allied Services for VC Office/Chamber in Administrative Building at Permanent Campus of Central University of Jharkhand (CUJ) at Cheri Manatu, Ranchi, Jharkhand. ]  [WAP/INFS-I/2023-24/10 ][2023_WAPCO_163947_1]",WAPCOS Limited||Rural and Urban Development||RUD (Gurugram),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Surd9xWNjX2MLpW4VlTRQQA%3D%3D
37.,10-Aug-2023 02:00 PM.,24-Aug-2023 02:00 PM,25-Aug-2023 02:00 PM,"[Notice Inviting Tender (LIMITED TENDERS) Concession to Supply, Install, Test Commission(Sitc) And Operate LIMITED VEHICLE PARKING AUTOMATION-Collection Of Parking Fees And Excess Time Fees Rights at Ayodhya Airport]  [AAI/AYODHYA/COMML/VPR/2023/2][2023_AAI_164046_1]",Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||COMMERCIAL-NR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SVULfroVfSmEknU6OFRc%2FnA%3D%3D
38.,10-Aug-2023 05:00 PM.,31-Aug-2023 05:00 PM,01-Sep-2023 05:00 PM,[Multi Brand Tea Retail Shop]  [AAI/BD/COMML/MULTI BRAND TEA STORE ][2023_AAI_164085_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SQwUFLOcWByWkb5%2B%2By%2FxCuA%3D%3D
39.,09-Aug-2023 06:55 PM.,30-Aug-2023 03:00 PM,31-Aug-2023 03:00 PM,"[ Licence for Travel Luggage Outlet in Departure (Ground Floor Check-In) Area, NITB, at Goa International Airport, Dabolim]  [AAI/COMML/GOA/TL/2023][2023_AAI_163993_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||COMMERCIAL-VAID - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJc1Ij81M9rCVupwy3DccxQ%3D%3D
40.,10-Aug-2023 05:00 PM.,31-Aug-2023 05:00 PM,01-Sep-2023 05:00 PM,[Apparel Retail Shop in SHA]  [AAI/BD/COMML/APPAREL RETAIL SHOP][2023_AAI_164096_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SmUwbkSJS8Sjjqjv9dafkbA%3D%3D
41.,10-Aug-2023 05:00 PM.,31-Aug-2023 05:00 PM,01-Sep-2023 05:00 PM,[Multi Brand Tea Retail Shop]  [AAI/BD/COMML/MULTI BRAND TEA STORE ][2023_AAI_164085_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SQwUFLOcWByWkb5%2B%2By%2FxCuA%3D%3D
42.,10-Aug-2023 05:00 PM.,24-Aug-2023 05:00 PM,25-Aug-2023 05:00 PM,[Convenience Retail Store in Short Term]  [AAI/BD/COMML/CONVENIENCE RETAIL STORE SHORT TERM][2023_AAI_164115_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SSo6dL7%2BCmqi%2B%2F31NRmhfOw%3D%3D
43.,10-Aug-2023 05:00 PM.,24-Aug-2023 05:00 PM,25-Aug-2023 05:00 PM,[Snacks Bar for Short Term]  [AAI/BD/COMML/SNAKCS BAR SHORT TERM][2023_AAI_164127_1],Airports Authority of India||Eastern Region - AAI||BAGDOGRA - AAI||COMMERCIAL-VEBD - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SJgXMRfuf4YWK3sI07YTQcA%3D%3D
44.,14-Aug-2023 06:00 PM.,07-Sep-2023 03:00 PM,08-Sep-2023 03:00 PM,[TENDER DOCUMENT FOR WORK OF APPOINTMENTOF A SERVICE PROVIDER Cand AG EMPANELLED CHARTEREDACCOUNTANT FIRM TO RENDER INTERNAL AUDIT SERVICES TO V.O.CHIDAMBARANAR PORT AUTHORITY FOR A PERIOD OF TWO YEARS]  [E-896 FIN-TAX0GENE/1/2021][2023_VOCPT_164517_1],V.O.Chidambaranar Port Trust||Finance Department - Administration Office,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SKPUJ0CdGyS4MH5OjYDyVeQ%3D%3D
45.,14-Aug-2023 05:00 PM.,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[COMPREHENSIVE AMC FOR SHARP PHOTOCOPIER MACHINE]  [A3/CMC/83990/23/MC][2023_CSIR_164487_1],Council of Scientific and Industrial Research||CSIR Madras Complex-Chennai||Purchase-CSIR MADRAS Cx. - CSIR,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SX0YAmZa0xHCTmn7ttcg6zQ%3D%3D
46.,16-Aug-2023 06:30 PM.,05-Sep-2023 03:00 PM,06-Sep-2023 03:00 PM,"[Licence for Retail Outlet for Footwear inside Domestic SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar.]  [AAI/ASR/COMML/RETAIL/2023/21][2023_AAI_164663_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=ST57KMCUUau7XFLh9bguJ%2Fg%3D%3D
47.,16-Aug-2023 04:00 PM.,06-Sep-2023 04:00 PM,07-Sep-2023 04:00 PM,[License to Operate Wellness Centre/Spa and Massage Chair facility in Mezzanine Floor of New International Terminal at Chennai Airport (49 sqm)]  [Spa_T249_Aug23][2023_AAI_164577_1],Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||COMMERCIAL-VOMM - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SmPfnHK9NJBL1XRmeNBr6hQ%3D%3D
48.,16-Aug-2023 04:00 PM.,06-Sep-2023 04:00 PM,07-Sep-2023 04:00 PM,[License to Operate Wellness Centre/Spa and Massage Chair Facility in Mezzanine Floor of New International Terminal at Chennai Airport (79 sqm)]  [Spa_T279_Aug23][2023_AAI_164580_1],Airports Authority of India||Southern Region - AAI||CHENNAI-AIRPORT - AAI||COMMERCIAL-VOMM - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SyG1CmWhawnJJ1I1DueLqrA%3D%3D
49.,16-Aug-2023 11:00 AM.,06-Sep-2023 02:30 PM,07-Sep-2023 03:00 PM,[PROCUREMENT OF RON/MON RATING UNIT OF HPG-2 FOR BCPL]  [BCPL/CNP/PRO2C043OR/01091][2023_BCPL_164511_1],Brahmaputra Cracker and Polymer Limited||C and P - BCPL,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SYr7Dlw4LHvR%2B7pQyEOaTOQ%3D%3D
50.,16-Aug-2023 06:40 PM.,05-Sep-2023 03:00 PM,06-Sep-2023 03:00 PM,"[Licence for Skincare Kiosk inside International SHA (First floor) at Sri Guru Ram Dass Jee International Airport, Amritsar. ]  [AAI/ASR/COMML/RETAIL/2023/22][2023_AAI_164664_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||COMMERCIAL-AMRITSAR - AAI,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=SWxiTFg5GW2wkQyaOxs1oIg%3D%3D
51.,21-Aug-2023 05:50 PM.,11-Sep-2023 02:00 PM,12-Sep-2023 02:30 PM,[ARC FOR CP ASSOCIATES SERVICE ]  [GAIL GAS/AG/CNP/23/C08/2023-24][2023_GAILG_164802_1],GAIL Gas Limited||GAIL Gas Ltd -Agra||Contract and Procurement -Agra,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTendersByClassification&service=direct&session=T&sp=Sj8aMcbBSoH8Q4lNzMgbiJA%3D%3D
